SINOBANGLA,01-01-2019,52,52.4,51.8,52,172197,,
SKTRIMS,01-01-2019,46.7,49.4,46.6,48.5,480635,,
SONALIANSH,01-01-2019,680,708,657.2,669.3,53238,,
SONARBAINS,01-01-2019,15,15.4,15,15.3,65726,,
SONARGAON,01-01-2019,32.3,35,32.3,35,300436,,
SOUTHEASTB,01-01-2019,15.8,16.4,15.6,16.2,1261481,,
SPCERAMICS,01-01-2019,14.5,15.4,14.4,15.4,365813,,
SPCL,01-01-2019,95,98.2,94.3,97.5,343149,,
SQUARETEXT,01-01-2019,46.5,47.9,45.6,47.6,133029,,
SQURPHARMA,01-01-2019,255,255.4,253.1,253.7,164199,,
STANCERAM,01-01-2019,148.2,153.5,147.8,151.3,3493,,
STANDARINS,01-01-2019,38.4,40.9,37.2,38.3,384095,,
STANDBANKL,01-01-2019,10.9,10.9,10.6,10.9,210999,,
STYLECRAFT,01-01-2019,893,897.4,878.2,879.9,5356,,
SUMITPOWER,01-01-2019,39.6,40.6,39,40.3,718850,,
SUNLIFEINS,01-01-2019,27.8,28.7,27.4,27.6,437320,,
TAKAFULINS,01-01-2019,26.6,26.6,26.6,26.6,100,,
TALLUSPIN,01-01-2019,6.1,6.6,6.1,6.6,264009,,
TITASGAS,01-01-2019,36.4,36.6,35.9,36.5,217008,,
TOSRIFA,01-01-2019,20.9,20.9,20.2,20.5,103050,,
TRUSTB1MF,01-01-2019,4.4,4.5,4.3,4.5,328069,,
TRUSTBANK,01-01-2019,32.5,33.5,32.5,33.3,499141,,
TUNGHAI,01-01-2019,5.6,5.9,5.4,5.8,511725,,
UCB,01-01-2019,17.8,18.2,17.6,18,138281,,
UNIONCAP,01-01-2019,12.4,12.8,12.4,12.7,310177,,
UNIQUEHRL,01-01-2019,53,53.7,53,53.6,242258,,
UNITEDAIR,01-01-2019,3,3.1,3,3.1,1812825,,
UNITEDFIN,01-01-2019,18,18.2,17.8,18.1,123272,,
UNITEDINS,01-01-2019,25.1,25.9,25.1,25.7,99150,,
UPGDCL,01-01-2019,296.6,313,296.6,304.3,357729,,
USMANIAGL,01-01-2019,106.5,107.8,105.1,106.9,48956,,
UTTARABANK,01-01-2019,29,29.2,28.5,28.9,263921,,
UTTARAFIN,01-01-2019,65.5,66.8,65.5,66.2,29458,,
VAMLRBBF,01-01-2019,7.6,7.7,7.6,7.7,3583,,
VFSTDL,01-01-2019,58,61,57.8,59.9,981139,,
WATACHEM,01-01-2019,470,486.5,466,483.8,106979,,
WMSHIPYARD,01-01-2019,19.8,21,19.8,20.7,1659523,,
YPL,01-01-2019,13.2,13.6,13.1,13.4,65029,,
ZAHEENSPIN,01-01-2019,11.4,11.5,11,11.4,316451,,
ZAHINTEX,01-01-2019,11,11.3,10.8,11.2,129579,,
ZEALBANGLA,01-01-2019,43.9,44,43.3,43.4,4220,,
01.Bank,01-01-2019,25.64,26.03,25.32,25.81,1031521.37,,
02.Cement,01-01-2019,117.19,118.34,116.30,117.59,96386.86,,
03.Ceramics_Sector,01-01-2019,92.24,94.86,90.20,93.10,223168.00,,
04.Engineering,01-01-2019,143.94,147.60,140.29,142.35,397159.36,,
05.Financial_Institutions,01-01-2019,31.53,32.15,31.28,31.78,499762.22,,
06.Food_&_Allied,01-01-2019,341.66,343.84,338.96,340.48,201437.24,,
07.Fuel_&_Power,01-01-2019,218.64,222.75,218.18,221.33,322502.63,,
08.Insurance,01-01-2019,37.98,38.48,37.04,37.57,137207.19,,
09.IT_Sector,01-01-2019,39.29,40.05,38.66,39.63,701069.63,,
10.Jute,01-01-2019,682.33,694.97,661.07,668.50,18348.33,,
11.Miscellaneous,01-01-2019,176.96,179.45,176.48,178.38,1049992.92,,
12.Mutual_Funds,01-01-2019,6.83,6.91,6.75,6.83,87045.00,,
13.Paper_&_Printing,01-01-2019,60.53,63.03,59.03,60.87,287632.33,,
14.Pharmaceuticals_&_Chemicals,01-01-2019,353.58,359.30,349.03,352.86,468416.65,,
15.Services_&_Real_Estate,01-01-2019,41.05,41.68,40.35,41.33,543619.00,,
16.Tannery_Industries,01-01-2019,308.88,310.12,301.28,302.78,181014.33,,
17.Telecommunication,01-01-2019,231.75,236.60,228.10,232.50,186185.00,,
18.Textile,01-01-2019,55.13,56.12,54.47,55.37,618496.77,,
19.Travel_&_Leisure,01-01-2019,28.50,29.40,28.50,29.17,1543999.00,,
20.Bond,01-01-2019,940.00,942.00,940.00,940.50,146.00,,
